mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
Brigitta_C,286418,2004914,CUDSS,DEFAULT,0,,0,0,-4.98775e-07,-1,1393,26,11,4.49211e-14
Alexander_Olympias_CN,292158,2045126,CUDSS,DEFAULT,0,,0,0,-4.88967e-07,-1,1395,25,11,4.53985e-14
Apollon_Daphne_C,294058,2058908,CUDSS,DEFAULT,0,,0,0,-4.85694e-07,-1,1429,23,10,nan
Tennyson_Bust_Plaster,294944,2064592,CUDSS,DEFAULT,0,,0,0,-4.84357e-07,-1,1505,7,23,4.54241e-14
Aloisus_C,302919,2120469,CUDSS,DEFAULT,0,,0,0,-4.71594e-07,-1,1529,24,11,4.62823e-14
Nursia_C,302971,2120797,CUDSS,DEFAULT,0,,0,0,-4.71521e-07,-1,1528,25,16,4.62457e-14
Faun_C_1,304509,2131611,CUDSS,DEFAULT,0,,0,0,-4.69129e-07,-1,1449,7,22,4.64079e-14
Mach_C,305241,2136675,CUDSS,DEFAULT,0,,0,0,-4.68017e-07,-1,1494,26,11,4.64626e-14
Sphere8,393218,2752514,CUDSS,DEFAULT,0,,0,0,-3.63304e-07,-1,1843,49,16,5.3008e-14
BrainMid,396451,2775145,CUDSS,DEFAULT,0,,0,0,-3.60342e-07,-1,1829,60,28,5.35966e-14
Fiddler_Crab_manifold,455246,3186664,CUDSS,DEFAULT,0,,0,0,-3.13808e-07,-1,2571,7,27,5.66996e-14
Fiddler_Crab,455246,3186668,CUDSS,DEFAULT,0,,0,0,-3.13807e-07,-1,2620,7,26,5.66829e-14
Le_Transi_De_Rene_De_Chalon,494980,3465540,CUDSS,DEFAULT,0,,0,0,-2.88555e-07,-1,2970,59,20,5.89544e-14
elephant_zun-36_6_a_b-joined,516176,3605590,CUDSS,DEFAULT,0,,0,0,-2.77347e-07,-1,2505,34,14,5.99532e-14
swirling_base,519010,3633058,CUDSS,DEFAULT,0,,0,0,-2.7525e-07,-1,2288,36,15,6.08824e-14
week01,540639,3784601,CUDSS,DEFAULT,0,,0,0,-2.64229e-07,-1,2387,53,19,6.17334e-14
root_planter_box_v4_solid_high-definition,559855,3919015,CUDSS,DEFAULT,0,,0,0,-2.55166e-07,-1,2422,7,44,6.31413e-14
20131013_Venus2,587827,4114761,CUDSS,DEFAULT,0,,0,0,-2.43027e-07,-1,3062,39,15,6.42809e-14
vlamp,597380,4182236,CUDSS,DEFAULT,0,,0,0,-2.39107e-07,-1,3097,6,26,6.48769e-14
romanesco,637284,4449010,CUDSS,DEFAULT,0,,0,0,-2.24769e-07,-1,2979,43,24,6.77074e-14
1005586,906907,6396945,CUDSS,DEFAULT,0,,0,0,-1.56325e-07,-1,4722,59,20,8.02632e-14
Nefertiti_open,948264,6635264,CUDSS,DEFAULT,0,,0,0,-1.5071e-07,-1,4974,57,21,8.14471e-14
cloth10x10,952741,6661303,CUDSS,DEFAULT,0,,0,0,-1.50121e-07,-1,5116,63,21,-nan
372112,979353,6855459,CUDSS,DEFAULT,0,,0,0,-1.45869e-07,-1,5102,54,19,8.30644e-14
376252,980051,6860357,CUDSS,DEFAULT,0,,0,0,-1.45765e-07,-1,5149,58,19,8.3611e-14
Nefertiti,1009118,7063814,CUDSS,DEFAULT,0,,0,0,-1.41567e-07,-1,5356,71,23,8.39726e-14
Blue_Sea_Star,1120415,7842773,CUDSS,DEFAULT,0,,0,0,-1.27506e-07,-1,6577,53,19,8.87372e-14
488FancyRoller,1138346,7963504,CUDSS,DEFAULT,0,,0,0,-1.25573e-07,-1,5944,78,48,8.93649e-14
sphere5_1M,1171598,8201174,CUDSS,DEFAULT,0,,0,0,-1.21934e-07,-1,7160,116,61,8.9401e-14
Goethe_Lifemask,1173249,8208477,CUDSS,DEFAULT,0,,0,0,-1.21825e-07,-1,6981,89,40,9.08981e-14
Xenophora,1177334,8241304,CUDSS,DEFAULT,0,,0,0,-1.2134e-07,-1,6819,71,24,9.09806e-14
Dragon_2,1189200,8324424,CUDSS,DEFAULT,0,,0,0,-1.20128e-07,-1,6898,82,28,9.11247e-14
226633,1225855,8580985,CUDSS,DEFAULT,0,,0,0,-1.16537e-07,-1,5995,171,62,9.38487e-14
Horse_Head,1250389,8750579,CUDSS,DEFAULT,0,,0,0,-1.14278e-07,-1,8676,91,37,9.33559e-14
Lucy_3M_O10,1264847,8853905,CUDSS,DEFAULT,0,,0,0,-1.12945e-07,-1,6806,92,54,9.37115e-14
120628,1264847,8853905,CUDSS,DEFAULT,0,,0,0,-1.12945e-07,-1,6661,92,61,9.37012e-14
994785,1270940,8896568,CUDSS,DEFAULT,0,,0,0,-1.12403e-07,-1,6541,91,38,9.49852e-14
994786,1279849,8958943,CUDSS,DEFAULT,0,,0,0,-1.1162e-07,-1,6611,83,26,9.53666e-14
103354,1347290,9489650,CUDSS,DEFAULT,0,,0,0,-1.05378e-07,-1,7299,75,25,9.66236e-14
Sphinx_1,1397519,9782671,CUDSS,DEFAULT,0,,0,0,-1.02222e-07,-1,7734,110,46,9.976e-14
out,1406021,9842135,CUDSS,DEFAULT,0,,0,0,-1.01604e-07,-1,8786,112,81,1.006e-13
Thorne,1478051,10346403,CUDSS,DEFAULT,0,,0,0,-9.66519e-08,-1,10767,131,71,1.02283e-13
20131208_VenusDeMilo_Full_Scale_captured_by_Cosmo_Wenman,1577057,11039387,CUDSS,DEFAULT,0,,0,0,-9.05847e-08,-1,8591,98,40,1.05471e-13
