mesh_name,iteration,ordering_type,solver_type,G_N,G_NNZ,nd_levels,patch_type,patch_size,patch_time,factor/matrix NNZ ratio,ordering_init_time,ordering_time,ordering_integration_time,analysis_time,factorization_time,solve_time,residual
armadillo_cut_high,16,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,17,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,18,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,19,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,20,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,21,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,22,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,23,DEFAULT,CUDSS,323288,4490904,0,,0,0,0,0,0,0,0,4,5,-nan
armadillo_cut_high,0,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,1691,196,23,86,49,8,0.674404
armadillo_cut_high,1,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,34,5,0.710585
armadillo_cut_high,2,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,34,6,-nan
armadillo_cut_high,3,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,4,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,5,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,6,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
armadillo_cut_high,7,PATCH_ORDERING,CUDSS,323288,4490904,10,rxmesh,512,28.4618,9.87639,0,0,0,0,6,6,-nan
