mesh_name,G_N,G_NNZ,solver_type,ordering_type,nd_levels,patch_type,patch_size,factor/matrix NNZ ratio,ordering_time,analysis_time,factorization_time,solve_time,residual
wingedvictory,2836081,19852567,CUDSS,DEFAULT,0,rxmesh,24,-5.03713e-08,-1,25275,876,81,215.18
nefertiti,1009118,7063814,CUDSS,DEFAULT,0,rxmesh,24,-1.41567e-07,-1,9261,317,22,0.361232
fish,10786,75490,CUDSS,DEFAULT,0,rxmesh,24,-1.32468e-05,-1,103,18,16,0.0370096
skull,49999,350005,CUDSS,DEFAULT,0,rxmesh,24,-2.8571e-06,-1,410,17,30,0.336953
488FancyRoller,1138346,7963504,CUDSS,DEFAULT,0,rxmesh,24,-1.25573e-07,-1,10321,339,292,0.252736
armadillo,14587,102097,CUDSS,DEFAULT,0,rxmesh,24,-9.79461e-06,-1,128,17,19,0.280379
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,DEFAULT,0,rxmesh,24,-5.20837e-08,-1,27039,113,202,-nan
cloth10x10,952741,6661303,CUDSS,DEFAULT,0,rxmesh,24,-1.50121e-07,-1,8654,35,22,-nan
scorpion_low_resolution,6315,44193,CUDSS,DEFAULT,0,rxmesh,24,-2.2628e-05,-1,57,17,12,0.403638
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,DEFAULT,0,rxmesh,24,-1.05378e-07,-1,11686,352,37,0.277684
violin,127968,895824,CUDSS,DEFAULT,0,rxmesh,24,-1.11629e-06,-1,1044,17,66,0.852546
Chevy_Corvette_Carbon65,1221086,8569984,CUDSS,DEFAULT,0,metis_kway,256,-1.16686e-07,-1,8234,16,160,9.27709e-14
andrew-jackson-zinc-sculpture-master-geometry,4737054,33158454,CUDSS,DEFAULT,0,rxmesh,24,-3.01582e-08,-1,44556,170,132,2.20719e+09
blue-crab-master-geometry,5658726,39611238,CUDSS,DEFAULT,0,rxmesh,24,-2.52454e-08,-1,55802,1233,230,2.00562e-13
Chevy_Corvette_Carbon65,1221086,8569984,CUDSS,DEFAULT,0,rxmesh,24,-1.16686e-07,-1,8088,17,159,9.27709e-14
Portrait_Statue_Of_-Aule_Meteli,1792311,12542759,CUDSS,DEFAULT,0,rxmesh,24,-7.97273e-08,-1,21202,659,55,nan
embreea_rodigasiana_var_herrenhusan-scale_mm-4M_triangle,1984810,13893946,CUDSS,DEFAULT,0,rxmesh,24,-7.19738e-08,-1,18321,854,107,1.19045e-13
wingedvictory,2836081,19852567,CUDSS,DEFAULT,0,rxmesh,24,-5.03713e-08,-1,25180,988,82,1.41263e-13
nefertiti,1009118,7063814,CUDSS,DEFAULT,0,rxmesh,24,-1.41567e-07,-1,9254,375,22,8.4013e-14
fish,10786,75490,CUDSS,DEFAULT,0,rxmesh,24,-1.32468e-05,-1,104,17,17,8.84099e-15
skull,49999,350005,CUDSS,DEFAULT,0,rxmesh,24,-2.8571e-06,-1,419,21,33,1.88319e-14
488FancyRoller,1138346,7963504,CUDSS,DEFAULT,0,rxmesh,24,-1.25573e-07,-1,10615,393,298,8.93649e-14
armadillo,14587,102097,CUDSS,DEFAULT,0,rxmesh,24,-9.79461e-06,-1,163,18,20,1.03432e-14
morse-telegraph-key-master-geometry,2748869,19199874,CUDSS,DEFAULT,0,rxmesh,24,-5.20837e-08,-1,27193,115,200,2.23653e+09
cloth10x10,952741,6661303,CUDSS,DEFAULT,0,rxmesh,24,-1.50121e-07,-1,8733,350,22,-nan
scorpion_low_resolution,6315,44193,CUDSS,DEFAULT,0,rxmesh,24,-2.2628e-05,-1,57,17,12,6.69004e-15
SkysSkull_2_bone-smoothed-orientated,1347290,9489650,CUDSS,DEFAULT,0,rxmesh,24,-1.05378e-07,-1,11730,394,37,9.65591e-14
violin,127968,895824,CUDSS,DEFAULT,0,rxmesh,24,-1.11629e-06,-1,1040,16,78,2.90108e-14
Chevy_Corvette_Carbon65,1221086,8569984,CUDSS,DEFAULT,0,metis_kway,256,-1.16686e-07,-1,8066,18,158,9.27709e-14
fish,10786,75490,CUDSS,DEFAULT,0,metis_kway,256,-1.32468e-05,-1,109,16,17,8.84099e-15
fish,10786,75490,CUDSS,DEFAULT,0,metis_kway,256,-1.32468e-05,-1,103,16,17,8.9145e-15
